state_code,info_sector_prop,state_name
01,1.0702277785670316,Alabama
02,1.5014075695964968,Alaska
04,1.657297925954642,Arizona
05,0.953668243598408,Arkansas
06,3.438314423169332,California
08,2.7460433916780205,Colorado
09,1.8731988472622478,Connecticut
10,0.8049142130904469,Delaware
11,2.72108843537415,District of Columbia
12,1.6501825282282025,Florida
13,2.6658607249306963,Georgia
15,1.375182009383595,Hawaii
16,1.1002297182928302,Idaho
17,1.5796976528311895,Illinois
18,0.8423096192384769,Indiana
19,1.2163280901738522,Iowa
20,1.2829550260820528,Kansas
21,1.0961558070765778,Kentucky
22,1.208207478387668,Louisiana
23,1.2368874275872865,Maine
24,1.3068517424689898,Maryland
25,2.644394265037952,Massachusetts
26,1.292925588006052,Michigan
27,1.5509424958243856,Minnesota
28,0.8756868131868132,Mississippi
29,1.656477338706923,Missouri
30,1.1381475667189953,Montana
31,1.7543859649122806,Nebraska
32,1.2008587146115657,Nevada
33,1.7346938775510203,New Hampshire
34,1.7843271109437158,New Jersey
35,1.275239107332625,New Mexico
36,3.098079589864269,New York
37,1.7051613441174018,North Carolina
38,1.357677902621723,North Dakota
39,1.2515146582750076,Ohio
40,1.0484155966544941,Oklahoma
41,1.8929872261837584,Oregon
42,1.5566021979490263,Pennsylvania
44,1.1496571198063736,Rhode Island
45,1.3505683084466236,South Carolina
46,1.171270718232044,South Dakota
47,1.6796104536489151,Tennessee
48,1.7119165440684765,Texas
49,2.668413842396807,Utah
50,1.4492753623188406,Vermont
51,1.7201975769788416,Virginia
53,4.827879303017425,Washington
54,1.1061629076282145,West Virginia
55,1.5615514333895446,Wisconsin
56,1.090014064697609,Wyoming
72,1.8136403127715033,Puerto Rico
78,1.440922190201729,Virgin Islands
